"NAICS_2","FTE","EventGroup","table"
"11 Agriculture, Forestry, Fishing and Hunting",0.0000498064393317768,"Beaverhead","All Impacts"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.000083107883197847,"Beaverhead","All Impacts"
"22 Utilities",0.000223792073432026,"Beaverhead","All Impacts"
"23 Construction",0.000995894247410972,"Beaverhead","All Impacts"
"31-33 Manufacturing",0.000160026284799261,"Beaverhead","All Impacts"
"42 Wholesale Trade",0.000679936490200321,"Beaverhead","All Impacts"
"44-45 Retail Trade",0.00443371556743179,"Beaverhead","All Impacts"
"48-49 Transportation and Warehousing",0.00306254585395175,"Beaverhead","All Impacts"
"51 Information",0.145907683720424,"Beaverhead","All Impacts"
"52 Finance and Insurance",0.00639920014401807,"Beaverhead","All Impacts"
"53 Real Estate and Rental and Leasing",0.0108433540928599,"Beaverhead","All Impacts"
"54 Professional, Scientific, and Technical Services",0.0072407332012027,"Beaverhead","All Impacts"
"55 Management of Companies and Enterprises",0.000193050932253869,"Beaverhead","All Impacts"
"56 Administrative and Support and Waste Management and Remediation Services",0.00519698501063072,"Beaverhead","All Impacts"
"61 Educational Services",0.000698471351903942,"Beaverhead","All Impacts"
"62 Health Care and Social Assistance",0.00582937699845081,"Beaverhead","All Impacts"
"71 Arts, Entertainment, and Recreation",0.0137529123207417,"Beaverhead","All Impacts"
"72 Accommodation and Food Services",0.00472025777221144,"Beaverhead","All Impacts"
"81 Other Services (except Public Administration)",0.00457357758712296,"Beaverhead","All Impacts"
"9A Government Enterprises",0.000685849120967328,"Beaverhead","All Impacts"
"11 Agriculture, Forestry, Fishing and Hunting",0.0000498064393317768,"Beaverhead","Indirect & Induced Impacts"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.000083107883197847,"Beaverhead","Indirect & Induced Impacts"
"22 Utilities",0.000223792073432026,"Beaverhead","Indirect & Induced Impacts"
"23 Construction",0.000995894247410972,"Beaverhead","Indirect & Induced Impacts"
"31-33 Manufacturing",0.000160026284799261,"Beaverhead","Indirect & Induced Impacts"
