"EventGroup","ImpactType","value","geography","table"
"Beaverhead_MA","Direct",2880150.4227781,"Beaverhead County, MT (2024)","Impact"
"Beaverhead_MA","Indirect",1600705.82408225,"Beaverhead County, MT (2024)","Impact"
"Beaverhead_MA","Induced",399802.095186249,"Beaverhead County, MT (2024)","Impact"
"Gallatin","Indirect",518.730816779513,"Beaverhead County, MT (2024)","Impact"
"Gallatin","Induced",279.349457634299,"Beaverhead County, MT (2024)","Impact"
"Gallatin_MA","Indirect",5360.69132587305,"Beaverhead County, MT (2024)","Impact"
"Gallatin_MA","Induced",3086.25591345077,"Beaverhead County, MT (2024)","Impact"
"Glacier","Indirect",160.756148082709,"Beaverhead County, MT (2024)","Impact"
"Glacier","Induced",5.73345025339393,"Beaverhead County, MT (2024)","Impact"
"Lewis and Clark_MA","Induced",312.385828636629,"Beaverhead County, MT (2024)","Impact"
"Madison","Induced",209.929915552363,"Beaverhead County, MT (2024)","Impact"
"Missoula","Indirect",345.72722641149,"Beaverhead County, MT (2024)","Impact"
"Missoula","Induced",17.3610900059726,"Beaverhead County, MT (2024)","Impact"
"Missoula_MA","Indirect",6945.68125016134,"Beaverhead County, MT (2024)","Impact"
"Missoula_MA","Induced",1273.56298604308,"Beaverhead County, MT (2024)","Impact"
"Park","Indirect",113.059355559754,"Beaverhead County, MT (2024)","Impact"
"Park","Induced",40.484585319425,"Beaverhead County, MT (2024)","Impact"
"Park_MA","Indirect",3170.09004777404,"Beaverhead County, MT (2024)","Impact"
"Park_MA","Induced",1352.97718220765,"Beaverhead County, MT (2024)","Impact"
"Ravalli","Indirect",463.715965043312,"Beaverhead County, MT (2024)","Impact"
"Ravalli","Induced",35.0858214842536,"Beaverhead County, MT (2024)","Impact"
"Ravalli_MA","Indirect",3039.22946313584,"Beaverhead County, MT (2024)","Impact"
"Ravalli_MA","Induced",243.035492646979,"Beaverhead County, MT (2024)","Impact"
"Rest of MT","Indirect",350.071717276298,"Beaverhead County, MT (2024)","Impact"
"Rest of MT","Induced",102.707180370254,"Beaverhead County, MT (2024)","Impact"
"Silver Bow","Indirect",1073.10770078403,"Beaverhead County, MT (2024)","Impact"
"Silver Bow","Induced",204.992721502429,"Beaverhead County, MT (2024)","Impact"
"Silver Bow_MA","Indirect",248480.545529262,"Beaverhead County, MT (2024)","Impact"
"Silver Bow_MA","Induced",46646.1514260497,"Beaverhead County, MT (2024)","Impact"
"Beaverhead_MA","Indirect",1381.73831343253,"Cascade County, MT (2024)","Impact"
"Beaverhead_MA","Induced",604.713919873597,"Cascade County, MT (2024)","Impact"
"Cascade","Direct",347413.222088191,"Cascade County, MT (2024)","Impact"
"Cascade","Indirect",176708.123087307,"Cascade County, MT (2024)","Impact"
"Cascade","Induced",59764.3703906317,"Cascade County, MT (2024)","Impact"
